text,class,cleaned_text,original_length,cleaned_length
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,according to gran the company has no plans to move all production to russia although that is where the company is growing,25,22
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral,technopolis plans to develop in stages an area of no less than 100000 square meters in order to host companies working in computer technologies and telecommunications the statement said,31,29
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",negative,the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility contrary to earlier layoffs the company contracted the ranks of its office workers the daily postimees reported,36,33
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,for the last quarter of 2010 componenta net sales doubled to eur131m from eur76m for the same period a year earlier while it moved to a zero pre tax profit from a pre tax loss of eur7m,39,37
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,in the third quarter of 2010 net sales increased by 5.2 to euro 205.5 million and operating profit by 34.9 to euro 23.5 million,29,24
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,operating profit rose to euro 13.1 million from euro 8.7 million in the corresponding period in 2007 representing 7.7 of net sales,24,22
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom offering to its customers,30,28
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,a purchase agreement for 7200 tons of gasoline with delivery at the hamina terminal finland was signed with neste oil company at the average platts index for this september plus eight us dollars per month,38,35
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,finnish talentum reports its operating profit increased to euro 20.5 million in 2005 from euro 9.3 million in 2004 and net sales totaled euro 103.3 million up from euro 96.4 million,34,31
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,clothing retail chain seppñlñ sales increased by to euro 155.2 million and operating profit rose to euro 31.1 million from euro 17.1 million in 2004,30,25
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,foundries division reports its sales increased by 9.7 to euro 63.1 million from euro 57.5 million in the corresponding period in 2006 and sales of the machine shop division increased by 16.4 to euro 41.2 million from euro 35.4 million in the corresponding period in 2006,50,46
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,incap contract manufacturing services pvt ltd a subsidiary of incap corporation of finland plans to double its revenues by 2007 2008,23,21
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",positive,filippova a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum days of the russian economy that opened in helsinki today,42,37
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,megafon subscriber base increased 16.1 in 2009 to 50.5 million users as of december 31 while its market share by the number of customers amounted to 24 as of late 2009 up from 23 as of late 2008 according to teliasonera estimates,50,42
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,net income from life insurance doubled to euro 6.8 million from euro 3.2 million and net income from non life insurance rose to euro 5.2 million from euro 1.5 million in the corresponding period in 2009,37,36
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,operating profit for the nine month period increased from eur13.6 while net sales increased from eur394.7 as compared to the corresponding period in 2005,30,24
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,operating profit for the nine month period increased from eur3.1 and net sales increased from eur61.5 as compared to the corresponding period in 2007,29,24
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,operating profit for the three month period increased from eur1.2 while revenue increased from eur20.2 as compared to the corresponding period in 2005,29,23
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,viking line cargo revenue increased by 5.4 to euro 21.46 million and cargo volume increased by 2.4 to 70116 cargo units,26,21
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,in january traffic measured in revenue passenger kilometres rpk went up by 3.2 and capacity measured in available seat kilometres ask rose by 12.2,32,24
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,nyrstar has also agreed to supply to talvivaara up to 150000 tonnes of sulphuric acid per annum for use in talvivaara leaching process during the period of supply of the zinc in concentrate,35,33
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",positive,sales for both the department store division and hobby hall increased by while sales for the clothing store subsidiary seppala decreased by,28,22
Sales have risen in other export markets .,positive,sales have risen in other export markets,8,7
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached euro 141.7 million,29,28
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,the company said that paper demand increased in all of its main markets including of publication papers and that it increased average paper prices by percent compared with last year,34,30
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,the world second largest stainless steel maker said net profit in the three month period until dec. 31 surged to euro603 million us 781 million or euro3.33 us 4.31 per share from euro172 million or euro0.94 per share the previous year,48,41
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",positive,within the framework of the partnership nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary jsc mikron which is the largest manufacturer and exporter of microelectronic components in russia,37,33
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,shares of standard chartered stan rose 1.2 in the ftse 100 while royal bank of scotland rbs shares rose and barclays shares barc bcs were up 1.7,41,27
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,shares of nokia corp. rose thursday after the cell phone maker said its third quarter earnings almost doubled and its share of the global handset market increased,27,27
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,sales for the department store division increased by 15 and sales for the clothing store subsidiary seppala increased by meanwhile sales for hobby hall decreased by 12,32,27
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,in sweden gallerix accumulated sek denominated sales were down and euro denominated sales were up 11,21,16
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,neutral,the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production,24,23
